ID,Feature,WBS,Type,User Story / Description,Story Points,Priority,Status,Notes ,Assignee,Next sprint,Sprint #,Total SP,SP Average
R3,JSON-RPC De-risking,2.2.3,Technical Task,A document mapping the JSON-RPC API and message types used between the Mock Client and the ICE adapter.,2,Complete,Completed,,Michael,FALSE,Sprint 2,22,
R62,Subprocess Manager,3.1.2.1,TT,"Reusable wrapper around java.lang.ProcessBuilder. Owns start, stdout/stderr capture (via ProcessOutputLogger), exit-code futures, and clean termination. ",5,Complete,Completed,,Michael,FALSE,,,
R63,Lobby WebSocket Transport,3.1.1.1,TT,"Open and maintain the WebSocket connection to the lobby server. Sends and receives newline-delimited JSON, honours ping/pong heartbeat, dispatches incoming messages to handlers by command field. ",5,Complete,Completed,,Michael,FALSE,,,
R68,Update Client auth config schema,3.1.5.3,TT,Update MockClientConfig/MockClientCli/defaults to the resolved refresh-token OAuth2 flow,2,Complete,Completed,,Michael,FALSE,,,
R15,State Transition Controller Base,2.3.7,TT,"Reusable FSM framework. Provides abstract State, Event, Transition types and a StateMachine dispatcher. Defines no concrete states.",8,Complete,Completed,,Matias,FALSE,,,
R34,Mock Client ICE Adapter Subprocess Launcher ,3.1.2.2,Technical Task,Spawns faf-ice-adapter via SubprocessManager with the right arguments. Captures output tagged [ICEAdapter]. Pure spawn/reap; no JSON-RPC.,2,Complete,Completed,,Michael,FALSE,,,
R25,Mock Client Mock Game Subprocess Launcher,3.1.2.3,TT,Spawns the Mock Game binary via SubprocessManager. Captures output tagged [MockGame]. Tested with a stub; real client–game lifecycle is a separate user story.,2,Complete,Completed,,Michael,FALSE,Sprint 3,24,
R21,Mock client authentication handshake,3.1.1.2,Technical Task,"Perform the OAuth JWT authentication flow against the lobby server, obtain a session token, and present it on the WebSocket connection.",3,HIGH,In review,,Matias & jai,TRUE,,,
R22,Mock client welcome state sync,3.1.1.3,TT,"Handle the post-auth welcome message from the lobby, hydrating local state (player info, server config, session identifiers) before entering idle.",3,HIGH,Started,,Shakiba,TRUE,,,
R30,Mock client lifecycle FSM (Scaffolding),3.1.3.1,Technical Task,"Wires Lobby Transport, Auth, Welcome, ICE Adapter Launcher, and Mock Game Launcher into the FSM framework (2.3.7). Defines ClientState enum and event types per channel. Components stop calling each other directly and post FSM events instead. Real transition logic is sprint 3.",5,HIGH,Not Started,,Matias,TRUE,,,
R35,Mock client / ICE adapter IPC establishment,3.1.4.1,Technical Task,"Open and validate the local TCP JSON-RPC connection to the ICE adapter, completing any initial handshake before normal operation.",3,HIGH,Not Started,,Michael,TRUE,,,
R36,Mock client event handler from ICE adapter,3.1.4.2,Technical Task,"Receive and dispatch JSON-RPC notifications from the ICE adapter (candidate gathered, peer connection state, ICE failure, GPGNet state).",3,HIGH,Not Started,,Jai,TRUE,,,
R71,Ice Adapter Connection Smoke Test,3.1.4.3,TT,Live test for conecction to the real ice adapter from mock client,2,HIGH,Not Started,,Michael,TRUE,,,
R16,Mock client connect to lobby server,3.1.1.4,User Story,"As a tester, I want the mock client to connect to the lobby server so that I can participate in matches and receive configuration data.",2,HIGH,Not Started,,Jai,TRUE,,,
R24,Mock client game configuration handling,3.1.1.6,Technical Task,"Receive post-match game configuration from the lobby (ports, peer list, map, faction, launch args) and persist it in a form the game launcher can consume.",2,HIGH,Not Started,,,TRUE,Sprint 4,23,
R45,Mock game connect to ICE adapter (GPGNet TCP),3.2.1,Technical Task,Establish the local TCP connection from the mock game to the ICE adapter and complete the GPGNet framing-level handshake.,3,MEDIUM,Not Started,,Jai,FALSE,,,
R44,Mock game GPGNet message sender,,Technical Task,Encodes and sends GPGNet frames to the ICE adapter,5,MEDIUM,Not Started,,Jai,FALSE,,,
R46,Mock game GPGNet event handler,3.2.1,Technical Task,A mock game component that receives and dispatches incoming GPGNet frames from the ICE adapter.,3,MEDIUM,Not Started,,Michael,FALSE,,,
R47,Mock game GPGNet handshake / initial state sequence,3.2.1,Technical Task,"Emit the required initial GPGNet state messages (e.g. GameState, Idle, Lobby) the ICE adapter expects on connection.",2,MEDIUM,Not Started,,Jai,FALSE,,,
R19,Mock client start match,3.1.1,User Story,"As a tester, I want to simulate a client starting a match so that I can test the capability of actual clients to join such matches.",3,MEDIUM,Not Started,,,FALSE,,,
R20,Mock client join match,3.1.1,User Story,"As a tester, I want to simulate a client joining a match so that I can test the capability of actual clients to create matches and handle connections.",3,MEDIUM,Not Started,,,FALSE,,,
R23,Mock client matchmaking queue,3.1.1,User Story,"As a tester, I want the mock client to enter, navigate, and cancel the matchmaking queue so I can validate lobby queue behaviour (searching, match found, accept/decline, timeout).",5,MEDIUM,Not Started,,,FALSE,Sprint 5 (planned),24,
R26,Mock client manage game,3.1.2,Technical Task,Keep track of the game process throughout its lifetime.,3,MEDIUM,Not Started,,,FALSE,,,
R59,Mock client lifecycle FSM (Central Event Loop),3.1.3,User Story,"As a developer, I want a single finite state machine that sequences the mock client through login, idle, matchmaking, launching, in-game, and teardown states, reacting to events from the lobby, game, and ICE adapter channels.",8,MEDIUM,Not Started,,,FALSE,,,
R33,Mock client shutdown sequence,3.1.3,User Story,"As a tester, I want the mock client to shut down cleanly on request or signal, terminating the game and ICE adapter subprocesses and closing the lobby WebSocket, so integration tests leave no orphaned processes.",3,MEDIUM,Not Started,,,FALSE,,,
R37,Mock client message sender to ICE adapter,3.1.4,Technical Task,"Encode and send JSON-RPC calls to the ICE adapter (hostGame, joinGame, connectToPeer, iceMsg, quit, STUN/TURN config).",3,MEDIUM,Not Started,,,FALSE,,,
R38,Mock client manage ICE adapter,3.1.2,Technical Task,"Track the ICE adapter process throughout its lifetime, including health monitoring and clean termination.",3,MEDIUM,Not Started,,,FALSE,,,
R39,Mock client relay ICE signalling through lobby,3.1.4,Technical Task,Route ICE candidate messages between the ICE adapter and the lobby server in both directions so peers can exchange signalling data.,3,MEDIUM,Not Started,,,FALSE,,,
R40,Mock client lobby reconnect,3.1.1,Technical Task,Detect lobby WebSocket disconnects and attempt re-authentication and state re-sync with a bounded retry/backoff policy.,5,LOW,Not Started,Postpone till phase 4 or 5,,FALSE,,,
R41,Mock client game crash recovery,3.1.2,Technical Task,"Detect abnormal game process exit, report the failure to the lobby per protocol, and transition the FSM into a clean teardown state.",3,LOW,Not Started,Postpone till phase 4 or 5,,FALSE,,,
R42,Mock client ICE adapter crash recovery,3.3.3,Technical Task,"Detect abnormal ICE adapter exit, tear down the active session, and optionally restart the adapter depending on FSM state.",3,LOW,Not Started,Postpone till phase 4 or 5,,FALSE,,,
R43,Mock client test harness affordances,3.1.4,Technical Task,"Provide hooks required by the Phase 5 multi-peer harness: deterministic player id assignment, structured log output, and a readiness/health signal.",3,LOW,Not Started,,,FALSE,,,
R64,Tester can simulate a client–game lifecycle,3.1.2,TT,"As a tester, I want the Mock Client to launch a real Mock Game and observe its full lifecycle (boot → GPGNet handshake → playing → teardown) so I can verify the client–game integration end to end.",3,LOW,Not Started,,,FALSE,,,
R70,Modularise mock client config records and group CLI options,3.1.5.4,Tech Debt,"Split the flat MockClientConfig + CLI into nested records and picocli @Mixin groups by concern (OAuth, ICE adapter, mock-game, logging)",2,LOW,Started,,,FALSE,,,
R7,Linux Fault Injection De-risking,2.2.7,Technical Task,"A document cataloguing the Linux utilities (tc, iptables, netem) and commands required to deliberately inject latency, packet loss, and connection drops, with proof-of-concept invocations covering each supported fault mode.",3,LOW,Not Started,,,FALSE,,,
R48,Mock game UDP packet sender (simulation traffic),3.2.2,Technical Task,A mock game component that emits simulated game traffic as UDP packets to the ICE adapter.,2,LOW,Not Started,,,FALSE,,,
R49,Mock game UDP packet receiver,3.2.2,Technical Task,A mock game component that receives UDP packets from the ICE adapter representing peer game traffic.,2,LOW,Not Started,,,FALSE,,,
R50,Mock game heartbeat / keep-alive timer,3.2.2,Technical Task,Generate deterministic ticks and keep-alive signals to satisfy the ICE adapter's liveness requirements.,2,LOW,Not Started,,,FALSE,,,
R51,Mock game simulated match progression,3.2.2,User Story,"As a tester, I want the mock game to advance through the match phases (init, launching, playing, ended) on a configurable schedule so I can exercise the full game lifecycle end to end.",3,LOW,Not Started,,,FALSE,,,
R52,Mock game CLI argument parser,3.2.3,Technical Task,"Parse the strict launch arguments (ports, player id, session parameters) passed by the Mock Client on game boot.",3,LOW,Not Started,,,FALSE,,,
R53,Mock game lifecycle FSM (runtime controller),3.2.3,User Story,"As a developer, I want a finite state machine that sequences the mock game through initialisation, GPGNet handshake, playing, and teardown so its behaviour is deterministic and testable.",5,LOW,Not Started,,,FALSE,,,
R54,Mock game shutdown sequence,3.2.3,User Story,"As a tester, I want the mock game to shut down cleanly on request or signal, closing the GPGNet connection and flushing logs, so integration tests leave no orphaned processes.",2,LOW,Not Started,,,FALSE,,,
R55,Mock game ICE adapter disconnect handling,3.2.4,Technical Task,Detect loss of the GPGNet TCP connection to the ICE adapter and transition the FSM into a clean teardown state.,3,LOW,Not Started,,,FALSE,,,
R56,Mock game bad-argument / config-error handling,3.2.4,Technical Task,Validate launch arguments on startup and exit with a clear error code and log message when arguments are missing or invalid.,2,LOW,Not Started,,,FALSE,,,
R12,Local Testing Environment,2.3.4,Technical Task,"A locally-runnable FAF backend (gitops-stack via Tilt + Kubernetes), required for fault-injection and offline multi-peer testing. Not needed for Mock Client/Mock Game development against the public test environment.",5,LOW,Not Started,,,FALSE,,,
R6,Docker Configuration De-risking,2.2.6,Technical Task,"A document (with a proof-of-concept docker-compose.yml) defining the TCP/UDP port mappings, bridging rules, and container networking required for the mock harness to reach the FAF lobby, exchange UDP traffic between peer ICE adapters, and launch the local faf-ice-adapter subprocess. Scoped to the mock harness containers, not gitops-stack.",3,LOW,Not Started,,,FALSE,,,
R13,Docker Workspace,2.3.5,Technical Task,"Foundational Dockerfile and docker-compose.yml for running the Mock Client and Mock Game as peers in containers. Includes the Java runtime and Linux network fault-injection utilities (tc, netem, iptables). Consumes the networking decisions from WBS-2.2.6 and is the prerequisite for distributed multi-peer testing (WBS-2.1/2.2) and fault injection (WBS-3.x).",3,LOW,Not Started,,,FALSE,,,
R57,Network fault injection integration,4.1.1,User Story,"As a tester, I want to simulate network communication faults between components, so that I can test their ability to recover from such errors.",5,LOW,Not Started,,,FALSE,,,
R58,Muti-Player Simulation,4.2.1,User Story,"As a tester, I want to simulate 2-4 players locally so that end-to-end interactions can be tested without live players.",13,LOW,Not Started,"- spawns multiple mock clients and games
- fully simulates lobby, game, and ICE traffic.
- logs all interactions
- starting after single-payer testing",,FALSE,,,
R59,Test Harness for Automation,4.2.2,User Story,"As a tester, I want an automated hardness that spawns N clients and monitors FSM transitions so that regression testing is repeatable.",8,LOW,Not Started,,,FALSE,,,
R60,Compontent Isolation Testing,4.2.3,User Story,"As a developer, I want to run each component in its own process so that integration issues can be debugged independently. ",5,LOW,Not Started,,,FALSE,,,
R61,ICE Adapter: NAT Traversal & Peer Discovery,4.2.4,User Story,"As a developer, I want to verify that multiple containerised mock clients can exchange ICE candidates via the lobby relay and establish direct WebRTC data channels between their ICE adapters, so multi-peer testing is feasible locally.",8,LOW,Not Started,,,FALSE,,,
